,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
6419,Kuwait,Asia,2235409.0,37.93746611833333,75.64526751005573,2000,2005
6420,Kyrgyz Republic,Asia,5193112.0,29.8734936,9.48139822072751,2000,2005
6421,Laos,Asia,5852969.0,20.472452825,30.344500811498154,2000,2005
6422,Latvia,Europe,2233165.0,36.49894454166667,50.928810034536596,2000,2005
6423,Lebanon,Asia,4643052.0,50.88645231833333,34.127396614529836,2000,2005
6424,Lesotho,Africa,1977428.0,50.028583106666666,2.3571067114248168,2000,2005
6425,Liberia,Africa,3266326.0,12.60981385,-22.29674587459235,2000,2005
6426,Libya,Africa,5837994.0,37.70096415333333,69.26200851910455,2000,2005
6427,Lithuania,Europe,3373536.0,35.186647670000006,51.921360423004856,2000,2005
6428,Macedonia,Europe,2078667.0,38.16595044333334,11.142736817395637,2000,2005
6429,Madagascar,Africa,18792174.0,22.628703150000003,3.0441651939769,2000,2005
6430,Malawi,Africa,12755647.0,37.731530092499995,,2000,2005
6431,Malaysia,Asia,25923540.0,31.24600622666667,16.151876023074664,2000,2005
6432,Mali,Africa,13180556.0,23.822565861666664,22.700445368142685,2000,2005
6433,Mauritania,Africa,3012363.0,2.8566314456666664,22.548974356840645,2000,2005
6434,Mauritius,Africa,1258050.0,27.97488952,3.1730202438976063,2000,2005
6435,Mexico,Americas,105442400.0,25.39188833333333,8.264269194434215,2000,2005
6436,Moldova,Europe,4001380.0,36.209352706666664,36.26445584346732,2000,2005
6437,Mongolia,Asia,2559258.0,33.74168167833333,64.24149933855297,2000,2005
6438,Montenegro,Europe,632885.0,40.5452131575,,2000,2005
6439,Morocco,Africa,30431898.0,32.12819919333334,20.077111467049047,2000,2005
6440,Mozambique,Africa,20211124.0,26.295191248333335,-7.397993118647605,2000,2005
6441,Myanmar,Asia,47724472.0,18.53942142,59.86480567205381,2000,2005
6442,Namibia,Africa,1962874.0,31.096872055000002,13.995086920810529,2000,2005
6443,Nepal,Asia,26285112.0,15.105118755,9.516058965653462,2000,2005
6444,Netherlands,Europe,16261834.0,48.46256833333333,7.333888303282721,2000,2005
6445,New Zealand,Oceania,4132782.0,31.467136666666665,12.851760379834953,2000,2005
6446,Nicaragua,Americas,5454680.0,29.870971666666666,17.92009373779202,2000,2005
6447,Niger,Africa,13855225.0,20.426868853333335,9.21107075304688,2000,2005
6448,Nigeria,Africa,140490720.0,38.44003259666667,56.08825781343319,2000,2005
6449,Norway,Europe,4623691.0,46.46087,26.033688774010933,2000,2005
6450,Oman,Asia,2515202.0,39.068160025,25.659891430564286,2000,2005
6451,Pakistan,Asia,174372096.0,22.46315,23.123171369005945,2000,2005
6452,Panama,Americas,3305875.0,28.761835,15.056954447352556,2000,2005
6453,Paraguay,Americas,5476881.0,23.493221666666667,20.96142215622947,2000,2005
6454,Peru,Americas,28147260.0,21.425225,17.43699981945084,2000,2005
6455,Philippines,Asia,86261248.0,23.440591666666666,17.042998335366597,2000,2005
6456,Poland,Europe,38575912.0,46.240244999999994,22.374588709054798,2000,2005
6457,Portugal,Europe,10523314.0,46.06915333333333,4.30389883365343,2000,2005
